2023;2;97823286.00;31656731.00
2023;3;684047664.00;220772971.50
2023;4;641364809.50;205820396.50
2023;5;600315233.00;193385190.00
2023;6;282251370.00;91456398.50
2023;7;375283299.50;120435345.00
2023;8;390036070.00;125806841.00
2023;9;300833072.00;97249701.00
2023;10;469470193.00;151951825.50
2023;11;354909558.50;114396526.00
2023;12;421617177.50;135776185.00
2024;1;1878500.40;1298772.90
2024;2;182608554.66;124104818.66
2024;3;1371716904.42;932398536.92
2024;4;1481994989.02;1007267396.52
2024;5;1182295252.53;803611906.03
2024;6;553854614.29;376058370.29
2024;7;851352438.20;577983196.20
2024;8;831235915.31;564950328.81
2024;9;579899989.70;393775475.20
2024;10;928439657.56;630413609.56
2024;11;862795268.74;585047598.24
2024;12;798729753.54;542706110.04
2025;1;17609.62;13237.12
2025;2;265546634.47;204731374.97
2025;3;2042200094.59;1573687368.09
2025;4;1913555249.27;1475369362.27
2025;5;1566635287.43;1207920338.93
2025;6;836457414.28;645049782.78
2025;7;602861907.26;464709919.26
2025;8;48283245.76;37379166.76
