10;1379;751963410.68
1;1356;715115702.85
2;1355;802305938.97
23;1347;777823962.03
6;1342;585329758.55
21;1342;756563975.42
18;1341;786172527.51
14;1340;724534316.47
5;1337;765074384.28
11;1333;763161540.20
16;1333;648817903.74
4;1331;700730302.88
28;1328;709720595.83
3;1317;658640279.60
19;1316;724247838.33
17;1315;669848010.34
12;1314;687924078.15
20;1313;740371434.57
13;1312;722078865.90
24;1311;654369894.74
7;1306;679452674.14
8;1302;688715914.25
27;1301;759537405.17
9;1301;691151958.59
26;1300;638966399.60
25;1295;625488387.49
15;1294;630868720.85
22;1292;660591703.95
29;1291;671767670.89
30;1236;735203414.43
31;807;393772043.65
